stage,amount,level_dbfs,freq_hz,factor,worst_alias_dbc,worst_alias_hz
TUBE,0.5,-12,1000,1,-132.708,1987.79
TUBE,0.5,-12,1000,2,-143.515,23.4375
TUBE,0.5,-12,1000,4,-158.945,1004.88
TUBE,0.5,-12,1000,8,-158.937,994.629
TUBE,0.5,-12,5000,1,-132.661,17998.5
TUBE,0.5,-12,5000,2,-144.972,23.4375
TUBE,0.5,-12,5000,4,-158.422,18010.3
TUBE,0.5,-12,5000,8,-159.072,5005.37
TUBE,0.5,-12,10000,1,-55.9651,18000.7
TUBE,0.5,-12,10000,2,-133.255,19987.8
TUBE,0.5,-12,10000,4,-143.775,23.4375
TUBE,0.5,-12,10000,8,-158.036,46.875
TUBE,0.5,-12,15000,1,-37.3654,18000
TUBE,0.5,-12,15000,2,-132.29,6000
TUBE,0.5,-12,15000,4,-142.682,12000
TUBE,0.5,-12,15000,8,-146.727,9000
TUBE,0.5,-3,1000,1,-115.099,1987.79
TUBE,0.5,-3,1000,2,-126.688,23.4375
TUBE,0.5,-3,1000,4,-144.189,46.875
TUBE,0.5,-3,1000,8,-158.749,1004.88
TUBE,0.5,-3,5000,1,-91.0059,17998.5
TUBE,0.5,-3,5000,2,-126.571,23.4375
TUBE,0.5,-3,5000,4,-144.291,46.875
TUBE,0.5,-3,5000,8,-156.975,24.9023
TUBE,0.5,-3,10000,1,-37.8631,18000.7
TUBE,0.5,-3,10000,2,-115.683,19987.8
TUBE,0.5,-3,10000,4,-126.244,23.4375
TUBE,0.5,-3,10000,8,-144.525,18000.7
TUBE,0.5,-3,15000,1,-31.2547,18000
TUBE,0.5,-3,15000,2,-90.178,6000
TUBE,0.5,-3,15000,4,-142.828,9000
TUBE,0.5,-3,15000,8,-141.709,18000
TUBE,1,-12,1000,1,-106.958,1987.79
TUBE,1,-12,1000,2,-118.155,23.4375
TUBE,1,-12,1000,4,-136.144,46.875
TUBE,1,-12,1000,8,-151.479,30.7617
TUBE,1,-12,5000,1,-67.2095,17998.5
TUBE,1,-12,5000,2,-118.004,23.4375
TUBE,1,-12,5000,4,-135.765,46.875
TUBE,1,-12,5000,8,-145.187,24.9023
TUBE,1,-12,10000,1,-30.4593,18000.7
TUBE,1,-12,10000,2,-90.1001,16002
TUBE,1,-12,10000,4,-117.377,23.4375
TUBE,1,-12,10000,8,-135.682,46.875
TUBE,1,-12,15000,1,-23.2674,18000
TUBE,1,-12,15000,2,-65.54,6000
TUBE,1,-12,15000,4,-132.091,12000
TUBE,1,-12,15000,8,-134.393,18000
TUBE,1,-3,1000,1,-97.0584,1987.79
TUBE,1,-3,1000,2,-104.699,23.4375
TUBE,1,-3,1000,4,-122.173,46.875
TUBE,1,-3,1000,8,-140.043,30.7617
TUBE,1,-3,5000,1,-40.9515,12998.3
TUBE,1,-3,5000,2,-94.2249,10995.8
TUBE,1,-3,5000,4,-121.964,46.875
TUBE,1,-3,5000,8,-142.492,93.75
TUBE,1,-3,10000,1,-16.9289,18000.7
TUBE,1,-3,10000,2,-51.0863,6002.2
TUBE,1,-3,10000,4,-103.214,2004.64
TUBE,1,-3,10000,8,-121.951,46.875
TUBE,1,-3,15000,1,-15.8533,3000
TUBE,1,-3,15000,2,-39.8162,9000
TUBE,1,-3,15000,4,-71.3856,3000
TUBE,1,-3,15000,8,-127.579,6000
IRON,0.5,-12,1000,1,-159.373,994.629
IRON,0.5,-12,1000,2,-159.032,994.629
IRON,0.5,-12,1000,4,-158.849,1004.88
IRON,0.5,-12,1000,8,-158.939,1004.88
IRON,0.5,-12,5000,1,-151.773,12998.3
IRON,0.5,-12,5000,2,-159.294,5005.37
IRON,0.5,-12,5000,4,-159.334,4995.12
IRON,0.5,-12,5000,8,-158.672,5005.37
IRON,0.5,-12,10000,1,-129.992,18000.7
IRON,0.5,-12,10000,2,-159.125,9994.63
IRON,0.5,-12,10000,4,-158.577,10005.6
IRON,0.5,-12,10000,8,-158.632,9993.9
IRON,0.5,-12,15000,1,-129.483,3000
IRON,0.5,-12,15000,2,-141.275,3000
IRON,0.5,-12,15000,4,-143.937,9000
IRON,0.5,-12,15000,8,-141.366,9000
IRON,0.5,-3,1000,1,-159.424,993.896
IRON,0.5,-3,1000,2,-158.981,1004.88
IRON,0.5,-3,1000,4,-159.337,994.629
IRON,0.5,-3,1000,8,-158.824,994.629
IRON,0.5,-3,5000,1,-137.278,12998.3
IRON,0.5,-3,5000,2,-159.166,5006.1
IRON,0.5,-3,5000,4,-159.094,4995.12
IRON,0.5,-3,5000,8,-159.193,5006.1
IRON,0.5,-3,10000,1,-129.943,18000.7
IRON,0.5,-3,10000,2,-144.405,6002.2
IRON,0.5,-3,10000,4,-158.248,10004.9
IRON,0.5,-3,10000,8,-158.133,9994.63
IRON,0.5,-3,15000,1,-131.499,3000
