mode,compress,threshold_db,ratio,knee_db,makeup_db,gr_at_-24,gr_at_-18,gr_at_-12,gr_at_-6,gr_at_0
CLEAN,0,-6,1,6,-0,0,0,0,0,0
CLEAN,0.05,-8.196,1.092,6,-0,0,0,0,-0.189549,-0.690506
CLEAN,0.1,-10.488,1.176,6,0.0165684,0,0,-0.027614,-0.671673,-1.56963
CLEAN,0.15,-12.732,1.264,6,0.145449,0,0,-0.242415,-1.40605,-2.65921
CLEAN,0.2,-14.784,1.368,6,0.449975,0,0,-0.749958,-2.36295,-3.97698
CLEAN,0.25,-16.5,1.5,6,0.9,0,-0.0625,-1.5,-3.5,-5.5
CLEAN,0.3,-17.768,1.652,6,1.36588,0,-0.251993,-2.27647,-4.64451,-7.01255
CLEAN,0.35,-18.684,1.816,6,1.80203,0,-0.508198,-3.00338,-5.69942,-8.39545
CLEAN,0.4,-19.416,2.004,6,2.22924,0,-0.814166,-3.7154,-6.72139,-9.72738
CLEAN,0.45,-20.132,2.228,6,2.68925,0,-1.20969,-4.48209,-7.78909,-11.0961
CLEAN,0.5,-21,2.5,6,3.24,0,-1.8,-5.4,-9,-12.6
CLEAN,0.55,-21.988,2.812,6,3.86165,-0.0524173,-2.56979,-6.43608,-10.3024,-14.1687
CLEAN,0.6,-22.984,3.156,6,4.50219,-0.224086,-3.40479,-7.50365,-11.6025,-15.7014
CLEAN,0.65,-24.036,3.544,6,5.1839,-0.551373,-4.33284,-8.63984,-12.9468,-17.2538
CLEAN,0.7,-25.192,3.988,6,5.93045,-1.0972,-5.38859,-9.88408,-14.3796,-18.8751
CLEAN,0.75,-26.5,4.5,6,6.76667,-1.96065,-6.61111,-11.2778,-15.9444,-20.6111
CLEAN,0.8,-28.008,5.104,6,7.72298,-3.22273,-8.04719,-12.8716,-17.6961,-22.5205
CLEAN,0.85,-29.684,5.792,6,8.77849,-4.70265,-9.66673,-14.6308,-19.5949,-24.559
CLEAN,0.9,-31.456,6.528,6,9.88537,-6.31384,-11.3947,-16.4756,-21.5565,-26.6374
CLEAN,0.95,-33.252,7.276,6,10.9987,-7.98042,-13.1558,-18.3312,-23.5065,-28.6819
CLEAN,1,-35,8,6,12.075,-9.625,-14.875,-20.125,-25.375,-30.625
WARM,0,-8,1,12,-0,0,0,0,0,0
WARM,0.05,-10.204,1.0768,12,0.0341392,0,0,-0.0525219,-0.309425,-0.727774
WARM,0.1,-12.512,1.1504,12,0.150152,0,-0.001428,-0.231003,-0.851361,-1.63578
WARM,0.15,-14.768,1.2256,12,0.38326,0,-0.058764,-0.589631,-1.61395,-2.71839
WARM,0.2,-16.816,1.3072,12,0.744586,0,-0.227112,-1.14552,-2.54183,-3.95186
WARM,0.25,-18.5,1.4,12,1.20714,-0.00297619,-0.502976,-1.85714,-3.57143,-5.28571
WARM,0.3,-19.684,1.5008,12.072,1.66664,-0.0408874,-0.823696,-2.56406,-4.5662,-6.56833
WARM,0.35,-20.472,1.6064,12.256,2.07876,-0.104105,-1.139,-3.1981,-5.46304,-7.72798
WARM,0.4,-21.068,1.7216,12.504,2.47052,-0.18474,-1.45585,-3.80081,-6.31568,-8.83055
WARM,0.45,-21.676,1.8512,12.768,2.89193,-0.296809,-1.82231,-4.44912,-7.20798,-9.96684
WARM,0.5,-22.5,2,13,3.4125,-0.480769,-2.32692,-5.25,-8.25,-11.25
WARM,0.55,-23.548,2.1664,13.2,4.04137,-0.770855,-3.00964,-6.2175,-9.44793,-12.6784
WARM,0.6,-24.684,2.3472,13.4,4.73207,-1.1677,-3.83636,-7.28011,-10.7239,-14.1676
WARM,0.65,-25.896,2.5448,13.6,5.48304,-1.68767,-4.7932,-8.43545,-12.0777,-15.72
