mode,tube,iron,quality,ms_per_second,percent_realtime
CLEAN,0,0,NORMAL,4.10506,0.410506
CLEAN,0,0,HIGH,4.10572,0.410572
CLEAN,0,0,ULTRA,4.07827,0.407827
CLEAN,0,0.5,NORMAL,12.0053,1.20053
CLEAN,0,0.5,HIGH,16.9542,1.69542
CLEAN,0,0.5,ULTRA,28.3322,2.83322
CLEAN,0.5,0,NORMAL,12.9787,1.29787
CLEAN,0.5,0,HIGH,20.3472,2.03472
CLEAN,0.5,0,ULTRA,31.3391,3.13391
CLEAN,0.5,0.5,NORMAL,18.0477,1.80477
CLEAN,0.5,0.5,HIGH,25.4433,2.54433
CLEAN,0.5,0.5,ULTRA,42.2951,4.22951
WARM,0,0,NORMAL,11.2671,1.12671
WARM,0,0,HIGH,15.3037,1.53037
WARM,0,0,ULTRA,23.0069,2.30069
WARM,0,0.5,NORMAL,14.1502,1.41502
WARM,0,0.5,HIGH,21.0544,2.10544
WARM,0,0.5,ULTRA,32.011,3.2011
WARM,0.5,0,NORMAL,14.0325,1.40325
WARM,0.5,0,HIGH,21.8088,2.18088
WARM,0.5,0,ULTRA,35.3065,3.53065
WARM,0.5,0.5,NORMAL,18.5575,1.85575
WARM,0.5,0.5,HIGH,27.2002,2.72002
WARM,0.5,0.5,ULTRA,45.5299,4.55299
DRIVE,0,0,NORMAL,10.1332,1.01332
DRIVE,0,0,HIGH,16.1271,1.61271
DRIVE,0,0,ULTRA,23.318,2.3318
DRIVE,0,0.5,NORMAL,14.2276,1.42276
DRIVE,0,0.5,HIGH,24.9623,2.49623
DRIVE,0,0.5,ULTRA,36.2817,3.62817
DRIVE,0.5,0,NORMAL,14.9819,1.49819
DRIVE,0.5,0,HIGH,22.6771,2.26771
DRIVE,0.5,0,ULTRA,37.2464,3.72464
DRIVE,0.5,0.5,NORMAL,19.2108,1.92108
DRIVE,0.5,0.5,HIGH,31.5893,3.15893
DRIVE,0.5,0.5,ULTRA,50.3105,5.03105
