freq_hz,default_db,hpf120_lpf6k_db,bell_7k_plus15_q1.5_db,bell_300_minus9_q0.7_db
20,-3.0103,-31.1297,-3.01023,-3.10679
22.4492,-2.12177,-29.1248,-2.12168,-2.24317
25.1984,-1.4515,-27.1211,-1.45138,-1.60418
28.2843,-0.969098,-25.1192,-0.96895,-1.16104
31.748,-0.635171,-23.1201,-0.634984,-0.876335
35.6359,-0.410815,-21.1257,-0.41058,-0.71361
40,-0.263288,-19.1385,-0.262991,-0.643137
44.8985,-0.167711,-17.1626,-0.167338,-0.643716
50.3968,-0.106403,-15.2044,-0.105933,-0.702128
56.5685,-0.0673328,-13.2739,-0.0667403,-0.811698
63.496,-0.0425383,-11.3854,-0.0417918,-0.970835
71.2719,-0.0268458,-9.56007,-0.0259052,-1.18183
80,-0.016931,-7.82668,-0.015746,-1.44996
89.797,-0.0106735,-6.22141,-0.00918035,-1.78284
100.794,-0.00672683,-4.78437,-0.00484557,-2.18981
113.137,-0.00423879,-3.5519,-0.00186846,-2.68131
126.992,-0.0026707,-2.54617,0.000315883,-3.26801
142.544,-0.00168259,-1.76741,0.00208051,-3.95919
160,-0.00106001,-1.19383,0.00368159,-4.75972
179.594,-0.000667768,-0.789292,0.00530688,-5.66381
201.587,-0.000420659,-0.513641,0.0071079,-6.64262
226.274,-0.000264987,-0.330563,0.00922194,-7.62254
253.984,-0.000166921,-0.211146,0.0117883,-8.45941
285.088,-0.000105144,-0.134203,0.0149614,-8.94595
320,-6.6229e-05,-0.0850314,0.0189226,-8.91367
359.188,-4.17154e-05,-0.0537791,0.0238924,-8.37489
403.175,-2.62741e-05,-0.0339928,0.0301444,-7.51084
452.548,-1.65477e-05,-0.0215084,0.0380208,-6.52454
507.968,-1.04212e-05,-0.0136665,0.0479529,-5.55105
570.175,-6.56244e-06,-0.00878393,0.0604856,-4.65731
640,-4.13208e-06,-0.00580754,0.0763102,-3.86844
718.376,-2.60146e-06,-0.00409352,0.0963045,-3.18838
806.349,-1.63756e-06,-0.00327054,0.121587,-2.61129
905.097,-1.0306e-06,-0.00316048,0.153589,-2.12726
1015.94,-6.48449e-07,-0.00374043,0.194142,-1.725
1140.35,-4.0787e-07,-0.00513833,0.245608,-1.39327
1280,-2.56445e-07,-0.00766172,0.311047,-1.12148
1436.75,-1.61156e-07,-0.0118661,0.394444,-0.900016
1612.7,-1.0121e-07,-0.0186782,0.501034,-0.72041
1810.19,-6.35112e-08,-0.0296012,0.637756,-0.575323
2031.87,-3.9814e-08,-0.0470453,0.813908,-0.458507
2280.7,-2.49265e-08,-0.0748524,1.04211,-0.364708
2560,-1.55805e-08,-0.119111,1.33972,-0.289562
2873.5,-9.71866e-09,-0.189385,1.73108,-0.229469
3225.4,-6.04637e-09,-0.300492,2.25092,-0.181486
3620.39,-3.74921e-09,-0.474825,2.94994,-0.14322
4063.75,-2.31497e-09,-0.744912,3.9042,-0.112734
4561.4,-1.42168e-09,-1.15504,5.23138,-0.0884665
5120,-8.67042e-10,-1.75969,7.11872,-0.069163
5747.01,-5.24076e-10,-2.61622,9.8489,-0.0538181
6450.8,-3.1312e-10,-3.77188,13.4712,-0.041628
7240.77,-1.84264e-10,-5.25141,14.6843,-0.0319512
8127.49,-1.06282e-10,-7.05477,11.0662,-0.0242767
9122.8,-5.96822e-11,-9.1686,7.62298,-0.0181982
10240,-3.23117e-11,-11.5854,5.19375,-0.0133936
11494,-1.66211e-11,-14.3231,3.4947,-0.0096086
12901.6,-7.94317e-12,-17.4449,2.29266,-0.00664374
14481.5,-3.39636e-12,-21.0898,1.43691,-0.00434484
16255,-1.21312e-12,-25.5418,0.830241,-0.00259615
18245.6,-3.12442e-13,-31.4281,0.410658,-0.00131702
